"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;566006;0.010;32.65;54.68;2.959;11.4;235.3;50.9;0.0;50.01;0.22;0;0;0.00000;-0.95746;
1111 1111 0000 0000;568005;0.010;32.82;54.66;2.959;11.3;235.3;51.0;0.0;50.02;0.22;0;0;0.00000;-0.95673;
1111 1111 0000 0000;570008;0.010;32.82;54.68;2.960;11.4;235.1;50.7;0.0;50.02;0.22;0;0;0.00003;-0.95648;
1111 1111 0000 0000;572892;0.010;32.65;54.70;2.959;10.8;235.2;50.8;0.0;50.00;0.22;0;0;0.00003;-0.95673;
1111 1111 0000 0000;574894;0.010;32.83;54.68;2.959;11.4;235.1;51.1;0.0;50.01;0.22;0;0;0.00000;-0.95697;"Walid is great";
1111 1111 0000 0000;577473;0.010;32.82;54.65;2.959;11.4;235.0;51.2;0.0;50.02;0.22;0;0;0.00000;-0.95654;
1111 1111 0000 0000;579555;0.010;32.82;54.65;2.959;11.0;235.2;51.3;0.0;50.02;0.22;0;0;0.00000;-0.95563;
1111 1111 0000 0000;581554;0.010;32.64;54.67;2.960;11.4;235.1;51.2;0.0;50.02;0.22;0;0;0.00000;-0.95770;
1111 1111 0000 0000;583558;0.010;32.82;54.66;2.959;11.4;234.9;51.5;0.0;50.02;0.22;0;0;0.00003;-0.95697;"Walid is great";
1111 1111 0000 0000;585575;0.010;32.83;54.67;2.959;11.4;235.0;51.6;0.0;50.02;0.22;0;0;0.00000;-0.95575;"Walid is great";
1111 1111 0000 0000;587589;0.010;32.65;54.67;2.960;11.4;235.2;51.4;0.0;50.02;0.22;0;0;0.00000;-0.95844;
1111 1111 0000 0000;591911;0.011;32.82;54.62;2.959;11.3;234.9;51.9;0.0;50.01;0.22;0;0;0.00000;-0.95667;"Walid is great";
1111 1111 0000 0000;594168;0.011;32.83;54.64;2.959;11.3;235.0;51.7;0.0;50.01;0.22;0;0;0.00003;-0.95392;
1111 1111 0000 0000;3314832;0.076;26.41;54.23;2.960;16.4;232.7;67.8;0.0;50.02;0.28;0;0;-0.00006;-0.95673;
