"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;35880319;1.270;33.44;53.52;2.991;17.7;230.3;14.7;0.0;50.04;0.06;0;0;-0.00006;-0.96710;
1111 1111 0000 0000;35882920;1.270;33.45;53.55;2.990;17.6;230.3;15.0;0.0;50.05;0.05;0;0;-0.00003;-0.95386;
1111 1111 0000 0000;35884900;1.270;32.95;53.50;2.991;18.3;230.5;15.0;0.0;50.05;0.06;0;0;-0.00003;-0.95807;
1111 1111 0000 0000;35887702;1.270;33.81;53.46;2.991;17.9;230.4;15.0;0.0;50.05;0.05;0;0;0.00000;-0.95740;
1111 1111 0000 0000;35889770;1.270;33.82;53.50;2.990;17.7;230.4;15.3;0.0;50.05;0.06;0;0;0.00003;-0.97223;
1111 1111 0000 0000;35891742;1.271;33.24;53.53;2.989;17.7;230.5;15.0;0.0;50.05;0.06;0;0;0.00000;-0.97986;
1111 1111 0000 0000;35894250;1.271;33.82;53.50;2.991;17.7;230.5;15.0;0.0;50.04;0.06;0;0;0.00000;-0.95807;"Walid is great";
1111 1111 0000 0000;35896300;1.271;34.44;53.54;2.989;17.9;230.5;15.0;0.0;50.04;0.04;0;0;-0.00006;-0.96136;
1111 1111 0000 0000;35899010;1.271;33.47;53.59;2.992;17.7;230.6;15.3;0.0;50.04;0.06;0;0;0.00003;-0.94843;"Walid is great";
1111 1111 0000 0000;35900525;1.271;33.81;53.46;2.992;18.2;230.5;15.0;0.0;50.05;0.06;0;0;-0.00003;-0.95923;
1111 1111 0000 0000;35902590;1.271;34.41;53.52;2.992;17.7;230.4;15.3;0.0;50.05;0.06;0;0;-0.00003;-0.98004;
1111 1111 0000 0000;35904591;1.271;33.76;53.55;2.989;17.6;230.7;15.3;0.0;50.05;0.05;0;0;-0.00003;-0.95343;
1111 1111 0000 0000;35906611;1.271;33.23;53.46;2.990;17.3;230.8;15.3;0.0;50.05;0.05;0;0;0.00003;-0.95428;
1111 1111 0000 0000;35908851;1.271;34.07;53.63;2.988;17.7;230.7;15.3;0.0;50.05;0.05;0;0;-0.00003;-0.96484;
1111 1111 0000 0000;35911451;1.271;33.46;53.54;2.989;17.9;230.6;15.6;0.0;50.05;0.06;0;0;0.00003;-0.98096;
1111 1111 0000 0000;35912830;1.271;33.13;53.55;2.991;18.0;230.6;15.3;0.0;50.05;0.06;0;0;-0.00009;-0.98236;
1111 1111 0000 0000;35915100;1.271;33.54;53.57;2.990;17.7;230.7;15.3;0.0;50.06;0.06;0;0;0.00000;-0.97345;
1111 1111 0000 0000;35917742;1.271;33.54;53.56;2.989;14.6;230.9;15.4;0.0;50.05;0.06;0;0;0.00000;-0.96808;
1111 1111 0000 0000;35919710;1.271;34.00;53.53;2.991;17.6;230.3;15.4;0.0;50.04;0.06;0;0;-0.00009;-0.97998;
1111 1111 0000 0000;35921760;1.271;33.41;53.44;2.994;17.6;230.2;15.4;0.0;50.06;0.06;0;0;-0.00009;-0.97473;
1111 1111 0000 0000;35923821;1.271;33.41;53.54;2.993;17.6;230.3;15.4;0.0;50.04;0.06;0;0;-0.00009;-0.96759;
1111 1111 0000 0000;35925761;1.271;34.03;53.61;2.989;17.7;230.4;15.4;0.0;50.04;0.05;0;0;0.00000;-0.96417;
1111 1111 0000 0000;35929210;1.271;33.43;53.58;2.992;17.6;230.6;15.6;0.0;50.05;0.06;0;0;-0.00003;-0.96637;
1111 1111 0000 0000;35929992;1.271;33.53;53.57;2.991;17.7;230.7;15.6;0.0;50.05;0.06;0;0;0.00000;-0.96149;"Walid is great";
1111 1111 0000 0000;35932000;1.271;34.06;53.67;2.989;17.7;230.6;15.4;0.0;50.04;0.06;0;0;-0.00003;-0.97430;
1111 1111 0000 0000;35937040;1.271;33.12;53.56;2.991;17.6;230.6;15.6;0.0;50.04;0.06;0;0;0.00000;-0.97418;"Walid is great";
1111 1111 0000 0000;35939223;1.271;33.81;53.47;2.992;18.0;230.6;15.6;0.0;50.04;0.05;0;0;0.00000;-0.95764;
1111 1111 0000 0000;35941981;1.271;33.43;53.53;2.992;17.9;230.5;15.6;0.0;50.02;0.05;0;0;-0.00003;-0.98376;
1111 1111 0000 0000;35943950;1.271;33.45;53.68;2.990;17.7;230.6;15.6;0.0;50.03;0.05;0;0;0.00000;-0.95123;
